time,r_value
0.0,0.0
1.7332663425294217,0.12002869710691033
3.4665326850588434,0.23989577417264799
5.1997990275882655,0.35960875964619055
6.933065370117687,0.4791750575798831
8.666331712647109,0.598601948251288
10.399598055176531,0.7178965887850297
12.132864397705953,0.8370660137746498
13.866130740235374,0.9561171359044383
15.599397082764796,1.0750567465713043
17.332663425294218,1.1938915165066062
19.06592976782364,1.3126279963980076
20.799196110353062,1.4312726175113197
22.532462452882484,1.549831692312355
24.265728795411906,1.6683114150887746
25.998995137941325,1.7867178625719238
27.732261480470747,1.9050569945587061
29.46552782300017,2.023334654533401
31.19879416552959,2.141556570289529
32.93206050805902,2.2597283545517017
34.665326850588436,2.3778555055974544
36.398593193117854,2.495943407879113
38.13185953564728,2.6139973326456243
39.8651258781767,2.732022438564422
41.598392220706124,2.8500237723432513
43.33165856323554,2.9680062693520397
45.06492490576497,3.0859747542447318
46.79819124829439,3.2039339415811345
48.53145759082381,3.3218884364487806
50.26472393335323,3.439842735084761
51.99799027588265,3.5578012254975775
53.731256618412075,3.675768188088989
55.464522960941494,3.7937477962758686
57.19778930347092,3.911744117112036
58.93105564600034,4.02976111191012
60.664321988529764,4.147802636863396
62.39758833105918,4.265872443667641
64.1308546735886,4.383974180142971
65.86412101611803,4.5021113908557036
67.59738735864745,4.620287517740195
69.33065370117687,4.738505900720686
71.06392004370629,4.856769778333162
72.79718638623571,4.975082288347197
74.53045272876514,5.093446468387784
76.26371907129456,5.211865256557203
77.99698541382398,5.33034149205687
79.7302517563534,5.448877915809169
81.46351809888283,5.5674771710793065
83.19678444141225,5.686141804097167
84.93005078394167,5.804874264679152
86.66331712647109,5.923676906850032
88.3965834690005,6.042551989464788
90.12984981152994,6.16150167683047
91.86311615405936,6.280528039328037
93.59638249658877,6.399633054034207
95.32964883911819,6.518818605343295
97.06291518164763,6.638086485589095
98.79618152417704,6.757438395666674
100.52944786670646,6.876875945654265
102.26271420923588,6.9964006554351
103.9959805517653,7.116013955319252
105.72924689429473,7.235717186665485
107.46251323682415,7.355511602503109
109.19577957935357,7.47539836815382
110.92904592188299,7.5953785618535505
112.66231226441242,7.715453175374329
114.39557860694184,7.835623114646097
116.12884494947126,7.955889200378587
117.86211129200068,8.076252168683162
119.5953776345301,8.196712671694653
121.32864397705953,8.317271278193223
123.06191031958895,8.4379284742262
124.79517666211837,8.558684663729938
126.52844300464778,8.679540169151647
128.2617093471772,8.800495232071267
129.99497568970662,8.921550013823284
131.72824203223607,9.042704596118613
133.4615083747655,9.163958981666406
135.1947747172949,9.285313094795942
136.92804105982432,9.40676678207844
138.66130740235374,9.528319812948926
140.39457374488316,9.649971880328076
142.12784008741258,9.771722601244063
143.861106429942,9.893571517454397
145.59437277247142,10.015518096067801
147.32763911500086,10.13756173016602
149.06090545753028,10.259701739425687
150.7941718000597,10.38193737074019
152.52743814258912,10.504267798841479
154.26070448511854,10.62669212692196
155.99397082764796,10.749209387256288
157.72723717017737,10.87181854182328
159.4605035127068,10.994518482927699
161.1937698552362,11.117308033822157
162.92703619776566,11.240185949328906
164.66030254029508,11.363150916461748
166.3935688828245,11.486201555047835
168.12683522535391,11.609336418349539
169.86010156788333,11.732553993686285
171.59336791041275,11.855852703056426
173.32663425294217,11.979230903759051
175.0599005954716,12.102686889015878
176.793166938001,12.226218888593058
178.52643328053045,12.349825069423057
180.25969962305987,12.47350353622648
181.9929659655893,12.597252332133941
183.7262323081187,12.721069439307882
185.45949865064813,12.844952779564464
187.19276499317755,12.968900214995355
188.92603133570697,13.092909548589635
190.65929767823638,13.216978524855612
192.3925640207658,13.341104830442683
194.12583036329525,13.465286094763167
195.85909670582467,13.589519890614172
197.5923630483541,13.71380373479943
199.3256293908835,13.838135088751146
201.05889573341292,13.962511359151845
202.79216207594234,14.086929898556237
204.52542841847176,14.21138800601303
206.25869476100118,14.33588292768681
207.9919611035306,14.460411857479883
209.72522744606005,14.584971937654105
211.45849378858946,14.709560259452754
213.19176013111888,14.834173863722341
214.9250264736483,14.958809741534514
216.65829281617772,15.08346483480785
218.39155915870714,15.208136036929755
220.12482550123656,15.332820193378234
221.85809184376598,15.457514102343847
223.5913581862954,15.582214515351463
225.32462452882484,15.706918137882154
227.05789087135426,15.831621629995022
228.79115721388368,15.956321606949064
230.5244235564131,16.081014639825018
232.25768989894252,16.205697256147193
233.99095624147193,16.330365940505352
235.72422258400135,16.455017135176508
237.45748892653077,16.579647240746826
239.1907552690602,16.704252616733413
240.92402161158964,16.828829582206247
242.65728795411906,16.953374416409925
244.39055429664847,17.077883359385595
246.1238206391779,17.202352612592765
247.8570869817073,17.326778339531145
249.59035332423673,17.451156666362532
251.32361966676615,17.575483682532592
253.05688600929557,17.69975544139278
254.790152351825,17.82396796082216
256.5234186943544,17.948117223849227
258.2566850368838,18.07219917927378
259.98995137941324,18.196209742288787
261.72321772194266,18.32014479510218
263.45648406447214,18.44400018755876
265.18975040700155,18.56777173776202
266.923016749531,18.691455232695958
268.6562830920604,18.81504642884702
270.3895494345898,18.938541052825823
272.12281577711923,19.061934801989118
273.85608211964865,19.18522334506157
275.58934846217807,19.3084023227576
277.3226148047075,19.431467348403274
279.0558811472369,19.554414008558137
280.7891474897663,19.677237863637064
282.52241383229574,19.79993444853208
284.25568017482516,19.92249927323423
285.9889465173546,20.044927823455435
287.722212859884,20.167215561250323
289.4554792024134,20.28935792563807
291.18874554494283,20.411350333224295
292.92201188747225,20.533188178822847
294.6552782300017,20.654866836077677
296.38854457253115,20.776381658084713
298.12181091506056,20.897727978013663
299.85507725759,21.018901109729878
301.5883436001194,21.139896348416205
303.3216099426488,21.260708971194877
305.05487628517824,21.38133423774926
